month,Duration
1,1165.620989964231
2,1233.9879700693969
3,1261.5129097238805
4,1361.1487536364154
5,1439.9934598765929
6,1371.578931923916
7,1375.057751587351
8,1356.1545609371817
9,1252.5183107427845
10,1191.7320948630356
11,1158.813221474362
12,1285.4523081791026
