Bike.Id,0
1,5551
2,3641
3,807
4,5089
5,5553
6,4576
7,2597
8,5741
9,4770
10,3833
13,4895
14,1833
15,3353
16,4498
17,5590
18,5670
19,4437
20,5324
21,5467
22,5677
23,2674
24,4393
25,5287
26,4186
27,4199
28,3552
29,5572
30,4321
31,1788
32,3186
33,5521
34,4642
35,3922
36,4574
37,1861
38,5512
39,6572
40,1660
41,5387
42,4947
43,6023
44,4462
45,4903
46,4751
49,4957
50,3684
51,5636
52,5935
53,2391
54,1765
55,5489
56,177
57,528
58,5804
59,1196
60,5394
61,4904
64,4566
66,5533
67,5219
69,4059
71,5036
72,5968
73,5532
74,5499
75,4422
76,4823
77,5984
78,5010
79,4599
80,4475
81,5395
82,440
83,4532
85,5269
86,1958
87,2705
88,4099
89,5110
90,5064
92,4813
93,1241
94,5401
95,4718
96,404
97,5765
98,5126
99,1987
100,5084
101,1371
102,3988
103,3831
104,3875
105,5119
106,4800
107,5145
108,4945
109,5651
110,1134
112,5510
113,3174
114,4424
115,4569
116,3149
117,2700
118,4815
119,4126
120,2019
121,4990
122,4506
123,5550
124,5728
125,5124
126,4865
127,150
128,6609
129,2091
130,5485
131,5378
132,4430
133,5494
134,4734
135,5320
136,4387
138,5907
139,6252
140,4940
141,3958
142,4725
143,4337
144,5407
145,4420
146,5143
148,5594
149,6073
150,4522
151,4971
152,5374
153,5873
154,1133
155,4856
156,4650
157,4813
158,5401
159,5490
160,4252
161,3190
162,4610
163,6227
164,4387
165,2654
166,2484
167,2168
168,4760
170,5988
172,4916
173,5520
175,4826
176,3264
177,4713
178,3387
179,5669
180,4427
181,5224
182,4964
183,3914
184,4436
185,5344
186,5997
188,3438
189,4690
190,4504
191,2706
192,3921
193,5327
195,4561
196,3483
197,3495
198,5757
199,5689
200,4928
201,4310
202,4267
203,4119
204,5068
205,46
206,5377
207,5280
208,5341
209,5169
210,4669
212,5602
213,5470
214,5437
215,4640
216,4380
217,4608
218,2917
219,4846
221,1222
222,5851
223,321
224,5580
225,3177
227,5714
228,3309
229,819
230,4933
231,2708
232,5590
233,4849
234,5472
235,2635
236,5110
237,4891
238,5393
239,3153
240,5769
241,4265
242,3131
243,1982
244,5211
245,4461
246,5598
247,5461
248,5215
249,4774
250,4464
251,3555
252,6138
253,5241
254,3929
255,5899
256,3376
257,3161
258,4127
259,2507
261,5631
262,5558
264,4812
265,4258
266,4514
267,4484
268,904
269,2317
270,5501
271,3735
272,4199
273,5428
274,4792
276,2166
278,2399
279,1505
280,5012
281,4450
282,2687
283,4944
285,5770
286,5360
287,5866
288,1285
289,5433
290,4553
291,5919
292,5500
294,4319
295,5649
297,3759
298,3424
299,4677
301,6502
302,4630
303,4673
304,4759
305,4513
306,4733
307,5013
308,5514
309,3875
310,5963
311,4266
312,4622
313,4610
314,5648
315,2942
316,5450
317,4013
318,2238
319,5628
321,616
322,4234
323,3376
324,5030
325,4229
326,5384
327,5617
328,4378
329,4317
330,2745
331,2369
332,5739
333,4239
334,4794
335,4414
336,4716
337,6028
338,4924
339,4868
340,2982
341,6148
342,3916
343,4818
344,5058
345,5758
346,5514
347,5237
348,3005
349,6227
350,3407
351,6010
352,6073
353,5636
354,6282
355,4585
356,5370
357,3800
358,5313
359,2950
360,4771
361,4615
362,5415
363,5881
364,4025
365,5231
366,5559
367,4438
368,5229
370,2419
371,4283
372,5184
373,5801
374,4787
375,4212
376,6539
378,3350
379,5693
380,1246
381,4696
382,2978
383,5545
385,5192
386,5297
387,4619
388,4386
389,3898
390,4335
391,5319
392,2401
393,4801
394,4549
395,5151
