year,trips(year),duration(year),meanduration(year),meantrips(year)
2015,9307969,1402.8772485168354,1292.978874383895,9556280.625
2016,9982560,1251.3883673125931,1292.978874383895,9556280.625
2017,9077896,1213.1664092078424,1292.978874383895,9556280.625
2018,10441836,1195.517248116136,1292.978874383895,9556280.625
2019,10309965,1172.012890441432,1292.978874383895,9556280.625
2020,10287039,1572.497823717787,1292.978874383895,9556280.625
2021,10821288,1316.0991556642796,1292.978874383895,9556280.625
2022,6221692,1220.2718520942535,1292.978874383895,9556280.625
