"Waterloo Road, South Bank",93835
"Waterloo Station 1, Waterloo",372475
"Waterloo Station 2, Waterloo",168097
"Waterloo Station 3, Waterloo",470350
"Watney Market, Stepney",70628
"Watney Street, Shadwell",102441
"Webber Street , Southwark",75136
"Wellington Arch, Hyde Park",360920
"Wellington Road, St. John's Wood",59961
"Wellington Row, Bethnal Green",79162
"Wellington Street , Strand",176243
"Wells Street, Fitzrovia",132766
"Wendon Street, Old Ford",53262
"Wenlock Road , Hoxton",95186
"West Cromwell Road, Earl's Court",71920
"West Kensington Station, West Kensington",62143
"West Smithfield Rotunda, Farringdon",150948
"Westbourne Grove, Bayswater",88977
"Westbourne Park Road, Portobello",65078
"Westbridge Road, Battersea",138275
"Westferry Circus, Canary Wharf",101226
"Westferry DLR, Limehouse",135833
"Westfield Ariel Way, White City",67782
"Westfield Eastern Access Road, Shepherd's Bush",1677
"Westfield Library Corner, Shepherd's Bush",57197
"Westfield Southern Terrace ,Shepherd's Bush",60035
"Westminster Bridge Road, Elephant & Castle",28212
"Westminster Pier, Westminster",182088
"Westminster University, Marylebone",74217
"Whiston Road, Haggerston",53156
"Whitehall Place, Strand",263017
"William IV Street, Strand",237651
"William Morris Way, Sands End",74778
"Windsor Terrace, Hoxton",81987
"Wood Street, Guildhall",69662
"Woodstock Grove, Shepherd's Bush",124198
"Woodstock Street, Mayfair",68184
"World's End Place, West Chelsea",86323
"Wormwood Street, Liverpool Street",341083
"Worship Street, Shoreditch",102066
"Wren Street, Holborn",115933
"Wright's Lane, Kensington",146619
"Wynne Road, Stockwell",23770
"York Hall, Bethnal Green",109315
"York Way, Kings Cross",34843
